StationID,Agency,Source,Longitude,Latitude
fccl047,FCCL,UCD-FCCL,-121.75083,38.08667
fccl048,FCCL,UCD-FCCL,-121.75,38.08667
fccl049,FCCL,UCD-FCCL,-121.73889,38.092
fccl050,FCCL,UCD-FCCL,-121.75806,38.04444
fccl051,FCCL,UCD-FCCL,-121.77944,38.07222
fccl052,FCCL,UCD-FCCL,-121.77528,38.07444
fccl053,FCCL,UCD-FCCL,-121.6475,38.33167
fccl054,FCCL,UCD-FCCL,-121.6475,38.33139
fccl055,FCCL,UCD-FCCL,-121.64833,38.32444
fccl056,FCCL,UCD-FCCL,-121.65111,38.317
fccl057,FCCL,UCD-FCCL,-121.65444,38.30917
fccl058,FCCL,UCD-FCCL,-121.65778,38.28167
fccl059,FCCL,UCD-FCCL,-121.66028,38.28194
fccl060,FCCL,UCD-FCCL,-121.64417,38.34167
fccl061,FCCL,UCD-FCCL,-121.64444,38.34111
fccl062,FCCL,UCD-FCCL,-121.79583,38.06472
fccl063,FCCL,UCD-FCCL,-121.79083,38.06667
fccl064,FCCL,UCD-FCCL,-121.79472,38.065
fccl065,FCCL,UCD-FCCL,-121.79056,38.06694
fccl066,FCCL,UCD-FCCL,-121.79028,38.06694
fccl067,FCCL,UCD-FCCL,-121.79111,38.06667
fccl068,FCCL,UCD-FCCL,-121.79028,38.06722
fccl069,FCCL,UCD-FCCL,-121.78889,38.06722
fccl070,FCCL,UCD-FCCL,-121.79306,38.06472
fccl071,FCCL,UCD-FCCL,-121.79444,38.06417
fccl072,FCCL,UCD-FCCL,-121.79694,38.06417
fccl073,FCCL,UCD-FCCL,-121.79667,38.06389
fccl074,FCCL,UCD-FCCL,-121.795,38.06472
fccl075,FCCL,UCD-FCCL,-121.79583,38.06444
fccl076,FCCL,UCD-FCCL,-121.79833,38.06361
fccl077,FCCL,UCD-FCCL,-121.7975,38.06361
fccl078,FCCL,UCD-FCCL,-121.79444,38.06444
fccl079,FCCL,UCD-FCCL,-121.78917,38.0675
fccl080,FCCL,UCD-FCCL,-121.78,38.07056
fccl081,FCCL,UCD-FCCL,-121.80083,38.06278
fccl082,FCCL,UCD-FCCL,-121.79472,38.06472
fccl083,FCCL,UCD-FCCL,-121.80611,38.01278
fccl084,FCCL,UCD-FCCL,-121.79889,38.06333
fccl085,FCCL,UCD-FCCL,-121.79944,38.06333
fccl086,FCCL,UCD-FCCL,-121.80111,38.06278
fccl087,FCCL,UCD-FCCL,-121.78333,38.07028
fccl088,FCCL,UCD-FCCL,-121.79611,38.06444
fccl089,FCCL,UCD-FCCL,-121.79278,38.06583
fccl090,FCCL,UCD-FCCL,-121.79667,38.06417
fccl091,FCCL,UCD-FCCL,-121.79694,38.06389
fccl092,FCCL,UCD-FCCL,-121.79722,38.06444
fccl093,FCCL,UCD-FCCL,-121.79722,38.06417
fccl094,FCCL,UCD-FCCL,-121.79444,38.06472
fccl095,FCCL,UCD-FCCL,-121.795,38.06444
fccl096,FCCL,UCD-FCCL,-121.79528,38.06417
fccl097,FCCL,UCD-FCCL,-121.79472,38.06444
fccl098,FCCL,UCD-FCCL,-121.78333,38.06972
fccl099,FCCL,UCD-FCCL,-121.80333,38.0625
fccl100,FCCL,UCD-FCCL,-121.80833,38.0625
fccl101,FCCL,UCD-FCCL,-121.79278,38.06528
fccl102,FCCL,UCD-FCCL,-121.66222,38.11806
fccl103,FCCL,UCD-FCCL,-121.65306,38.11167
fccl104,FCCL,UCD-FCCL,-121.65806,38.11667
fccl105,FCCL,UCD-FCCL,-121.79706,38.06372
fccl106,FCCL,UCD-FCCL,-121.78344,38.07042
fccl107,FCCL,UCD-FCCL,-121.79583,38.06417
fccl108,FCCL,UCD-FCCL,-121.79778,38.06389
fccl109,FCCL,UCD-FCCL,-121.78194,38.07056
fccl110,FCCL,UCD-FCCL,-121.79639,38.06444
fccl111,FCCL,UCD-FCCL,-121.7975,38.06333
fccl112,FCCL,UCD-FCCL,-121.80194,38.06278
